Episode time step,Cv Q value seed_0,Cv Q value seed_10,Cv Q value seed_20,Cv Q value seed_40,Cv Q value seed_60,Cv Q value seed_80,Cv Q value seed_100,Cv Q value
1000,-1.349576122072801,-0.6146027752220169,-0.7186896650535656,-0.5462964030386759,-1.132146431422984,-0.7178319231200818,-0.5476333917063474,-0.8038252445194961
2000,-0.4578839023581884,-0.3205968900160533,-0.34965048878351,-0.3290611571747509,-0.4192540882372401,-0.3478746415292303,-0.3370400203495947,-0.3659087412069382
3000,-0.2560659645756077,-0.2272134166406514,-0.2371554356663225,-0.2370776338334423,-0.2758616550976101,-0.2447695475556292,-0.2478547410546012,-0.24657119920340922
4000,-0.1937889824450407,-0.1791147762948407,-0.1821574644661266,-0.1921500069379903,-0.2590026776198219,-0.1849980014658543,-0.1929728234670365,-0.19774067609953017
5000,-0.1644490831473274,-0.136507766395707,-0.1870591111210585,-0.1413397128776798,-0.1771554731925699,-0.1415026757490689,-0.1405698847307483,-0.15551195817345143
6000,-0.1214015775665699,-0.1066042618831623,-0.0784690125542775,-0.0847061267399345,-0.132420015419927,-0.1096093304575487,-0.0817714640588398,-0.10214025552575139
7000,-0.050846243075383,-0.0352361313250892,-0.0549249844781364,-0.0919382506082668,-0.0681430085529887,-0.1191313383223534,-0.0461838748886489,-0.06662911875012377
8000,-0.0535810377806765,-0.0251651821406002,-0.0394999461991438,-0.1053862667071848,-0.0996428241733008,-0.063439781240034,-0.0626787139010693,-0.06419910744885848
9000,-0.0471060928318726,-0.0243994965802328,-0.0753615552908815,-0.0784973911723288,-0.0607362975314363,-0.0361605198297199,-0.0595277271017603,-0.05454129719117602
10000,-0.0975822845332875,-0.0136306701448172,-0.0440640116228376,-0.0411928379525878,-0.1437783152512443,-0.035723515034355,-0.0590045955001805,-0.06213946143418713
11000,-0.0237458279283046,-0.0134489224891204,-0.0392910689316562,-0.0358773337191969,-0.0580459373776658,-0.0145690068700246,-0.0546016411689057,-0.034225676926410604
12000,-0.0215468108715184,-0.0176029677080137,-0.0325120969506249,-0.0581099455827639,-0.0520347371751574,-0.0146436581832365,-0.0204654627662556,-0.030987954176795767
13000,-0.0454230094256947,-0.0122436247008871,-0.0325344331914548,-0.0658288842935257,-0.0425941220778211,-0.0102216077776368,-0.0484201411791264,-0.03675226037802094
14000,-0.0114671872505608,-0.0384425914039743,-0.0141395475331748,-0.0298288493574358,-0.0131791746391228,-0.0085223207155161,-0.0273603067460068,-0.020419996806541628
15000,-0.0344616316700779,-0.0103488520065555,-0.0105704052359603,-0.0145987995402269,-0.0466918478219996,-0.0260679354161753,-0.0225721575176366,-0.023615947029804584
16000,-0.0073445343617592,-0.0172288574384547,-0.0135491983436346,-0.0119115733964091,-0.0180705742971506,-0.0214471392220559,-0.0251162104311127,-0.016381155355796685
17000,-0.0209210605361911,-0.0215046650520776,-0.0152436904930197,-0.0147341083877762,-0.0363514969770442,-0.0207617860557617,-0.021230737996276,-0.02153536364259236
18000,-0.0269214888259308,-0.0137294355233704,-0.017654978816627,-0.0123407528037676,-0.0229084460266677,-0.0356524378729188,-0.0116294795722375,-0.0201195742059314
19000,-0.0063565688789942,-0.0101136270903095,-0.0348203126082228,-0.0511321054187851,-0.0077522758118874,-0.0175948659107157,-0.0190575378597309,-0.02097532765409223
20000,-0.0098786615332426,-0.0083377623672175,-0.0141538381897187,-0.0271275624790034,-0.0208282158827321,-0.0145009929971805,-0.0216945563586972,-0.016645941401113144
21000,-0.0309871893853815,-0.0039206782666848,-0.0308450351946809,-0.0329113404450597,-0.0204638988533004,-0.0144172158923601,-0.0235238461986407,-0.022438457748015443
22000,-0.0130825170125016,-0.0015590408114025,-0.020805537688553,-0.0266830968308201,-0.0125366799444334,-0.0336379798565364,-0.0125233290415292,-0.017261168740825172
23000,-0.0273553119093409,-0.0032483918703054,-0.0077922807993352,-0.0233010280809446,-0.0208667109158461,-0.0182865004306874,-0.0185745789592798,-0.01706068613796277
24000,-0.0342610261494722,-0.0009848542394217,-0.0106588513666124,-0.0133141171685072,-0.0095866053252416,-0.0155241630296618,-0.0433214380763218,-0.018235865050748385
25000,-0.0095056093502931,-0.0007981932460288,-0.006120761941886,-0.0119273285304834,-0.0260433342105648,-0.0089187768645319,-0.0235338457053953,-0.012406835692740469
26000,-0.0216410061734861,-0.0003990929077425,-0.0090125368319056,-0.0206764182925421,-0.035495192572574,-0.0066268479741988,-0.0258201829414324,-0.017095896813411643
27000,-0.0088096727008399,-0.0002620494432148,-0.0036031671699056,-0.0180921527904386,-0.0368250831179809,-0.004149750895555,-0.0089579444969912,-0.011528545802132287
28000,-0.0188400255643564,-0.0002473048588898,-0.001947400267968,-0.0082290937000673,-0.0114484469325636,-0.001084799927625,-0.0181882588982886,-0.008569332878536956
29000,-0.0194378537841681,-0.000289490561328,-0.0020249745835539,-0.0092494397188035,-0.0365554594261189,-0.0026857409707578,-0.0145522457169418,-0.012113600680238859
30000,-0.0046879260966617,-0.0002336518027883,-0.0007338609054818,-0.012467256053689,-0.0119464001789558,-0.0024473119693167,-0.0243893668674266,-0.008129396267759985
31000,-0.0031505236218777,-0.0001611470584059,-0.0013675656024653,-0.0038438644359046,-0.0115961570166082,-0.0010713161494545,-0.0102517531207492,-0.004491761000780771
32000,-0.0011091160850014,-0.0002995345793846,-0.0004934653949852,-0.0018558194321094,-0.0101781211948133,-0.000837271183541,-0.0038249492768462,-0.002656896735240157
33000,-0.00244468014722,-0.0002157081797717,-0.0002818320493006,-0.0018956155695807,-0.0049067343744535,-0.0004031766988196,-0.002966032824256,-0.0018733971204860141
34000,-0.0029321148770217,-0.0001300298069115,-0.0002111692338364,-0.0026897243593339,-0.0099998516421754,-0.0002244319085903,-0.0018255524893832,-0.002573267759607486
35000,-0.0013393137752426,-8.952875450393879e-05,-0.0001930101173673,-0.0013191986795408,-0.0051482900701949,-0.0002073633001039,-0.0014179994105512,-0.0013878148725006629
35796,,-6.181494890898321e-05,,,,,,-6.181494890898321e-05
36000,-0.0006145358189487,,-0.0001018146756829,-0.0003707808165741,-0.0054018370636907,-0.0001363139843747,-0.0006767038128321,-0.0012169976953505333
36796,,-0.0003898240600932,,,,,,-0.0003898240600932
36827,,,,,,-0.0001804235279454,,-0.0001804235279454
37000,-0.0005291189906918,,-0.0001090658732772,-0.0002885136054513,-0.0016306575966676,,-0.0002869317948623,-0.00056885757219004
37796,,-0.0002690667192984,,,,,,-0.0002690667192984
37827,,,,,,-0.0002423560203615,,-0.0002423560203615
38000,-0.0001997521467738,,-5.7588037895710426e-05,-0.0004696720411655,-0.0007722672460134,,-0.0003438417324132,-0.00036862424085232204
38796,,-0.0005015582030143,,,,,,-0.0005015582030143
38827,,,,,,-0.000294302312349,,-0.000294302312349
39000,-0.0002107152452888,,-4.032834389090305e-05,-0.0002956010573048,-0.0046098697947825,,-0.0001744840476397,-0.0010661996977813406
39488,,-0.0002746934044481,,,,,,-0.0002746934044481
39827,,,,,,-0.0002451675117715,,-0.0002451675117715
40000,-0.0001614274582663,,-2.858879259419536e-05,-0.0002785216300456,-0.0011646983277124,,-0.0001667474650875,-0.0003599967347411991
40488,,-0.0002302675344757,,,,,,-0.0002302675344757
40827,,,,,,-0.000166551950038,,-0.000166551950038
41000,-0.000218560738618,,-2.231892428873566e-05,-0.0002239782151797,-0.0002752503676843,,-0.0001810500090659,-0.00018423165096732714
41488,,-0.0002510786454288,,,,,,-0.0002510786454288
41827,,,,,,-0.0001958861627861,,-0.0001958861627861
42000,-0.000111267677284,,-2.5682777687455766e-05,-0.000246897271689,-0.0006016936394773,,-0.0001699570157104,-0.0002310996763696312
42488,,-0.0002325114518094,,,,,,-0.0002325114518094
42827,,,,,,-0.0003987728637941,,-0.0003987728637941
43000,-0.0001247025109201,,-2.1968099099746025e-05,-0.000124829813649,-0.0002594889484421,,-0.0001112171750025,-0.0001284413094226892
43488,,-0.0003343706707825,,,,,,-0.0003343706707825
43827,,,,,,-0.0002127312741525,,-0.0002127312741525
44000,-6.278596192937656e-05,,-2.6178487291053942e-05,-0.0001246573574582,-0.0002155434752884,,-8.773134266072666e-05,-0.00010337932492555143
44488,,-0.0003158725625289,,,,,,-0.0003158725625289
44827,,,,,,-0.0004231796899361,,-0.0004231796899361
45000,-8.156207806308313e-05,,-1.936043413677633e-05,-9.214294616688426e-05,-0.0001632008184731,,-7.213368362848196e-05,-8.567999209366513e-05
45488,,-0.0002512410464407,,,,,,-0.0002512410464407
45827,,,,,,-0.0001914919986202,,-0.0001914919986202
46000,-8.074613876963055e-05,,-4.198612614237278e-05,-0.0001079197034897,-8.163439026906939e-05,,-7.118209765897979e-05,-7.66936912659505e-05
46488,,-0.0004154694054699,,,,,,-0.0004154694054699
46827,,,,,,-0.0002996624355187,,-0.0002996624355187
47000,-6.196052479057601e-05,,-2.799847190235416e-05,-0.0001489165277348,-5.980404571875257e-05,,-6.473057591493544e-05,-7.268202921228363e-05
47488,,-0.0003374549676674,,,,,,-0.0003374549676674
47827,,,,,,-0.0001606660110366,,-0.0001606660110366
48000,-6.544727366222644e-05,,-2.624178437926008e-05,-9.377052649849724e-05,-6.239407520638997e-05,,-3.724737464193251e-05,-5.702020687766125e-05
48149,,-0.0001992943907926,,,,,,-0.0001992943907926
48623,,,,,,-0.0001015486104821,,-0.0001015486104821
49000,-3.398066058688807e-05,,-2.579269076796093e-05,-9.44013734269866e-05,-4.607008527776376e-05,,-4.980845877114233e-05,-5.001065376614833e-05
49149,,-0.0002468921039563,,,,,,-0.0002468921039563
49623,,,,,,-0.000272502415287,,-0.000272502415287
50000,-4.536023171420429e-05,,-1.6317415303620856e-05,-9.397460498849156e-05,-5.104191396901907e-05,,-3.504388959092821e-05,-4.834761111325279e-05
50149,,-0.0002025734457518,,,,,,-0.0002025734457518
50623,,,,,,-0.0002571969754568,,-0.0002571969754568
51000,-3.96902900051391e-05,,-1.9631055496582324e-05,-7.144951633852738e-05,-2.455714958902629e-05,,-3.3171622546815136e-05,-3.7699926795218044e-05
51149,,-0.0002243597091395,,,,,,-0.0002243597091395
51623,,,,,,-0.0002431271200418,,-0.0002431271200418
52000,-2.2289918567044327e-05,,-2.2935279191059502e-05,-0.0001036341132934,-3.556588283968343e-05,,-4.318615749210407e-05,-4.552227027665826e-05
52051,,-0.0001882849835827,,,,,,-0.0001882849835827
52623,,,,,,-0.0002617805842826,,-0.0002617805842826
53000,-6.359463893001159e-05,,-2.347886929679376e-05,-7.732873930451152e-05,-2.4134962936342476e-05,,-3.338177387481552e-05,-4.438379686849497e-05
53051,,-0.0002718834967024,,,,,,-0.0002718834967024
53623,,,,,,-0.0002437456122132,,-0.0002437456122132
54000,-2.5031945295520403e-05,,-1.751452194581092e-05,-4.856271268489916e-05,-3.297897468608896e-05,,-3.2693851434993426e-05,-3.1356401209462574e-05
54051,,-0.0002527678654747,,,,,,-0.0002527678654747
54623,,,,,,-0.0003659217986328,,-0.0003659217986328
55000,-3.089815003347472e-05,,-1.897752420190692e-05,-6.467665501324888e-05,-2.0366110895472e-05,,-2.8348743927148223e-05,-3.265343681425015e-05
55051,,-0.00028417417218,,,,,,-0.00028417417218
55623,,,,,,-0.0003894105587289,,-0.0003894105587289
55839,,,,-0.000128418698252,,,,-0.000128418698252
55989,,-0.0004049137964378,,,,,,-0.0004049137964378
56000,-2.802434140007986e-05,,-1.888257490032656e-05,,-2.436973626940869e-05,,-2.688901882517236e-05,-2.4541417848746866e-05
56623,,,,,,-0.0002342233055915,,-0.0002342233055915
56839,,,,-0.0002755674235366,,,,-0.0002755674235366
56989,,-0.0006629664984493,,,,,,-0.0006629664984493
57000,-1.941034047794305e-05,,-2.8650275632843432e-05,,-2.132766109189873e-05,,-3.139173733542869e-05,-2.5195003634528474e-05
57623,,,,,,-0.0002580962124669,,-0.0002580962124669
57839,,,,-0.0003992300281119,,,,-0.0003992300281119
57989,,-0.0004888150723989,,,,,,-0.0004888150723989
58000,-2.578656334045336e-05,,-3.675944671773295e-05,,-3.122357758704205e-05,,-3.725683191028136e-05,-3.2756604888877434e-05
58623,,,,,,-0.0002768618282178,,-0.0002768618282178
58839,,,,-0.0002134569627944,,,,-0.0002134569627944
58989,,-0.0002961351916703,,,,,,-0.0002961351916703
59000,-2.5926302274282528e-05,,-1.5877818837884305e-05,,-1.8329615431648155e-05,,-3.84185987860625e-05,-2.4638083832469372e-05
59623,,,,,,-0.0001814791195196,,-0.0001814791195196
59839,,,,-0.0002219348514003,,,,-0.0002219348514003
59908,,-0.000399901393441,,,,,,-0.000399901393441
60000,-2.590384627445981e-05,,-3.569197012334303e-05,,-1.7871148983432747e-05,,-3.820700603029122e-05,-2.9418492852881697e-05
60622,,-0.0002819554820209,,,,,,-0.0002819554820209
60623,,,,,,-0.0001258878079128,,-0.0001258878079128
60839,,,,-0.0002058128748814,,,,-0.0002058128748814
61000,-2.6765577401959008e-05,,-1.771736820771616e-05,,-2.3857114769425157e-05,,-2.395182592740812e-05,-2.3072971576627113e-05
61622,,-0.0003361665120985,,,,,,-0.0003361665120985
61623,,,,,,-9.229974878504955e-05,,-9.229974878504955e-05
61839,,,,-0.0002985129398507,,,,-0.0002985129398507
62000,-2.987355448131963e-05,,-1.995856739620388e-05,,-2.1653573469857756e-05,,-2.879071447752704e-05,-2.506910245622708e-05
62504,,-0.0002837468164687,,,,,,-0.0002837468164687
62623,,,,,,-4.505604865924768e-05,,-4.505604865924768e-05
62839,,,,-0.0001556105514902,,,,-0.0001556105514902
63000,-3.2226492642454255e-05,,-1.6267913504493324e-05,,-2.1329041795984105e-05,,-2.837148979839437e-05,-2.4548734435331517e-05
63504,,-0.0003649907564096,,,,,,-0.0003649907564096
63623,,,,,,-4.42827780603795e-05,,-4.42827780603795e-05
63839,,,,-0.000220503568687,,,,-0.000220503568687
63842,-2.002699066405461e-05,,,,,,,-2.002699066405461e-05
64000,,,-2.031116389705293e-05,,-3.819442604127866e-05,,-4.172620959703237e-05,-3.341059984512132e-05
64504,,-0.0003679103738466,,,,,,-0.0003679103738466
64623,,,,,,-2.98430303848422e-05,,-2.98430303848422e-05
64839,,,,-0.0002931809034305,,,,-0.0002931809034305
64842,-0.0001979470097977,,,,,,,-0.0001979470097977
65000,,,-2.746217349434385e-05,,-1.642012378622961e-05,,-2.988140565476142e-05,-2.4587900978444958e-05
65472,,-0.0004258871131737,,,,,,-0.0004258871131737
65623,,,,,,-3.102601351389901e-05,,-3.102601351389901e-05
65839,,,,-0.0002511075043953,,,,-0.0002511075043953
65842,-0.0001902195424732,,,,,,,-0.0001902195424732
66000,,,-2.2302710946844785e-05,,-1.628329975531441e-05,,-2.2515191072891223e-05,-2.036706725835014e-05
66472,,-0.0004230544345774,,,,,,-0.0004230544345774
66623,,,,,,-4.657866759178348e-05,,-4.657866759178348e-05
66833,-0.0002375637984448,,,,,,,-0.0002375637984448
66839,,,,-4.7711376238364775e-05,,,,-4.7711376238364775e-05
67000,,,-2.259004482780271e-05,,-2.8159690325461565e-05,,-2.314062450373404e-05,-2.4630119885666105e-05
67472,,-0.0003701610865136,,,,,,-0.0003701610865136
67623,,,,,,-2.3428647883677764e-05,,-2.3428647883677764e-05
67833,-0.00022148387683,,,,,,,-0.00022148387683
67839,,,,-0.0002854035804668,,,,-0.0002854035804668
68000,,,-2.48045446031219e-05,,-1.6676771689311208e-05,,-2.521040765984298e-05,-2.2230574650758695e-05
68472,,-0.0003227514581327,,,,,,-0.0003227514581327
68623,,,,,,-2.8904568991311688e-05,,-2.8904568991311688e-05
68833,-0.0001738224626555,,,,,,,-0.0001738224626555
68839,,,,-5.7387429965579984e-05,,,,-5.7387429965579984e-05
69000,,,-1.5483904698571674e-05,,-2.2018955071697565e-05,,-3.1791136654352515e-05,-2.3097998808207253e-05
69472,,-0.0002675878401105,,,,,,-0.0002675878401105
69623,,,,,,-2.11820841960744e-05,,-2.11820841960744e-05
69833,-0.0004063324190743,,,,,,,-0.0004063324190743
69839,,,,-0.0001993715970302,,,,-0.0001993715970302
70000,,,-1.760294274420548e-05,,-1.2810664228315272e-05,,-2.63529578873271e-05,-1.892218828661595e-05
70472,,-0.0003727583143983,,,,,,-0.0003727583143983
70623,,,,,,-3.4872840408056705e-05,,-3.4872840408056705e-05
70833,-0.00024281618573,,,,,,,-0.00024281618573
70839,,,,-0.0001999617109827,,,,-0.0001999617109827
71000,,,-2.578637575139302e-05,,-2.3162197162777132e-05,,-2.25328281279492e-05,-2.3827133680706452e-05
71472,,-0.000257036418357,,,,,,-0.000257036418357
71623,,,,,,-2.1225565662420432e-05,,-2.1225565662420432e-05
71833,-0.000195618787031,,,,,,,-0.000195618787031
71839,,,,-0.0001142834484394,,,,-0.0001142834484394
72000,,,-1.562411591691162e-05,,-2.51296421645986e-05,,-1.985678979571237e-05,-2.0203515959074195e-05
72120,,-0.0002208464358168,,,,,,-0.0002208464358168
72623,,,,,,-2.4854941146882784e-05,,-2.4854941146882784e-05
72697,,-0.0002967054924214,,,,,,-0.0002967054924214
72833,-0.0002697964538643,,,,,,,-0.0002697964538643
72839,,,,-0.0001729053446706,,,,-0.0001729053446706
73000,,,-2.178606506757537e-05,,-1.011390130636385e-05,,-3.285637909372207e-05,-2.158544848922043e-05
73623,,,,,,-1.988412978781599e-05,,-1.988412978781599e-05
73697,,-0.0002926423194025,,,,,,-0.0002926423194025
73833,-0.0002218310735128,,,,,,,-0.0002218310735128
73839,,,,-0.0001356311995633,,,,-0.0001356311995633
74000,,,-1.9571465788201005e-05,,-5.542160141571124e-05,,-2.161980289474924e-05,-3.2204290032887164e-05
74623,,,,,,-1.9919388097756284e-05,,-1.9919388097756284e-05
74697,,-0.0003040650379738,,,,,,-0.0003040650379738
74833,-0.0003955518779144,,,,,,,-0.0003955518779144
74839,,,,-6.591362128796994e-05,,,,-6.591362128796994e-05
75000,,,-3.579646528259747e-05,,-1.5023303675777494e-05,,-2.617977399323578e-05,-2.566651431720358e-05
75623,,,,,,-2.1297853035723936e-05,,-2.1297853035723936e-05
75697,,-0.0002815014903213,,,,,,-0.0002815014903213
75833,-0.0001919684323836,,,,,,,-0.0001919684323836
75839,,,,-4.2791043342066336e-05,,,,-4.2791043342066336e-05
76000,,,-2.5878779033274032e-05,,-4.462410321265376e-05,,-2.8539336817546417e-05,-3.3014073021158076e-05
76528,,-0.0003145155933396,,,,,,-0.0003145155933396
76623,,,,,,-2.680878765013333e-05,,-2.680878765013333e-05
76833,-0.0003043851314328,,,,,,,-0.0003043851314328
76839,,,,-7.875513512618158e-05,,,,-7.875513512618158e-05
77000,,,-1.0567568190783285e-05,,-1.8459366317507243e-05,,-1.4767020646363043e-05,-1.459798505155119e-05
77528,,-0.0003598806765199,,,,,,-0.0003598806765199
77623,,,,,,-3.1233626820172424e-05,,-3.1233626820172424e-05
77833,-0.0002319561527393,,,,,,,-0.0002319561527393
77839,,,,-4.3389880843673806e-05,,,,-4.3389880843673806e-05
78000,,,-1.551197209059491e-05,,-1.8367043205659525e-05,,-2.4833017327565917e-05,-1.9570677541273453e-05
78041,,-0.0002760404825634,,,,,,-0.0002760404825634
78530,,-0.0003053218748922,,,,,,-0.0003053218748922
78623,,,,,,-2.5174451938651335e-05,,-2.5174451938651335e-05
78833,-0.0002244419377609,,,,,,,-0.0002244419377609
78839,,,,-3.791694790882239e-05,,,,-3.791694790882239e-05
79000,,,-1.737505335358902e-05,,-1.819041265644048e-05,,-3.88915088225864e-05,-2.4818991610871965e-05
79422,,-0.0003691914288355,,,,,,-0.0003691914288355
79623,,,,,,-2.1960679627212147e-05,,-2.1960679627212147e-05
79833,-8.149962417460511e-05,,,,,,,-8.149962417460511e-05
79839,,,,-3.5745442014749486e-05,,,,-3.5745442014749486e-05
80000,,,-1.5998174400515868e-05,,-1.577976587332789e-05,,-7.93249457776194e-06,-1.32368116172019e-05
80111,,-0.000560470860577,,,,,,-0.000560470860577
80623,,,,,,-2.489771040343164e-05,,-2.489771040343164e-05
80833,-8.583204721344034e-05,,,,,,,-8.583204721344034e-05
80839,,,,-2.483458700173475e-05,,,,-2.483458700173475e-05
81000,,,-1.839165849005347e-05,,-2.3907182494419543e-05,,-3.4269783329010624e-05,-2.5522874771161216e-05
81111,,-0.0006215786180103,,,,,,-0.0006215786180103
81623,,,,,,-3.0162582316312225e-05,,-3.0162582316312225e-05
81833,-5.722702626460816e-05,,,,,,,-5.722702626460816e-05
81839,,,,-3.526939159184917e-05,,,,-3.526939159184917e-05
82000,,,-2.029246072155869e-05,,-1.3089023524278228e-05,,-1.8872977934050784e-05,-1.741815405996257e-05
82111,,-0.0008419048915271,,,,,,-0.0008419048915271
82623,,,,,,-2.5916164654268424e-05,,-2.5916164654268424e-05
82823,,-0.000389541314432,,,,,,-0.000389541314432
82833,-6.180526796502179e-05,,,,,,,-6.180526796502179e-05
82839,,,,-2.3870087522550903e-05,,,,-2.3870087522550903e-05
83000,,,-1.4168772404881172e-05,,-1.3362351614801828e-05,,-3.959836588179642e-05,-2.2376496633826475e-05
83623,,,,,,-2.3986268963855115e-05,,-2.3986268963855115e-05
83823,,-0.0003932695775069,,,,,,-0.0003932695775069
83833,-3.4274920716587936e-05,,,,,,,-3.4274920716587936e-05
83839,,,,-2.7261389819618905e-05,,,,-2.7261389819618905e-05
