Epoch time step,Epoch number,Episode reward,N steps
400,1,-116.0,1
800,2,-114.0,1
1200,3,-221.0,1
1600,4,-140.0,1
2000,5,-1000.0,1
2400,6,-1000.0,1
2800,7,-1000.0,1
3200,8,-403.0,1
3600,9,-1000.0,1
4000,10,-232.0,1
4400,11,-210.0,1
4800,12,-1000.0,1
5200,13,-190.0,1
5600,14,-175.0,1
6000,15,-132.0,1
6400,16,-99.0,1
6800,17,-126.0,1
7200,18,-120.0,1
7600,19,-641.0,1
8000,20,-72.0,1
8400,21,-80.0,1
8800,22,-154.0,1
9200,23,-142.0,1
9600,24,-97.0,1
10000,25,-95.0,1
10400,26,-82.0,1
10800,27,-97.0,1
11200,28,-99.0,1
11600,29,-131.0,1
12000,30,-120.0,1
12400,31,-116.0,1
12800,32,-94.0,1
13200,33,-119.0,1
13600,34,-124.0,1
14000,35,-140.0,1
14400,36,-86.0,1
14800,37,-112.0,1
15200,38,-99.0,1
15600,39,-89.0,1
16000,40,-143.0,1
16400,41,-237.0,1
16800,42,-219.0,1
17200,43,-146.0,1
17600,44,-120.0,1
18000,45,-108.0,1
18400,46,-347.0,1
18800,47,-126.0,1
19200,48,-145.0,1
19600,49,-149.0,1
20000,50,-241.0,1
20400,51,-320.0,1
20800,52,-728.0,1
21200,53,-226.0,1
21600,54,-1000.0,1
22000,55,-353.0,1
22400,56,-352.0,1
22800,57,-513.0,1
23200,58,-683.0,1
23600,59,-1000.0,1
24000,60,-1000.0,2
24400,61,-485.0,2
24800,62,-604.0,2
25200,63,-558.0,2
25600,64,-496.0,2
26000,65,-525.0,2
26400,66,-253.0,2
26800,67,-385.0,2
27200,68,-1000.0,2
27600,69,-139.0,2
28000,70,-192.0,2
28400,71,-229.0,2
28800,72,-235.0,2
29200,73,-478.0,2
29600,74,-767.0,2
30000,75,-191.0,2
30400,76,-241.0,2
30800,77,-324.0,2
31200,78,-341.0,2
31600,79,-363.0,2
32000,80,-228.0,2
32400,81,-257.0,2
32800,82,-367.0,2
33200,83,-618.0,2
33600,84,-266.0,2
34000,85,-573.0,2
34400,86,-516.0,2
34800,87,-184.0,2
35200,88,-1000.0,2
35600,89,-1000.0,2
36000,90,-295.0,2
36400,91,-183.0,2
36800,92,-250.0,2
37200,93,-207.0,2
37600,94,-121.0,2
38000,95,-353.0,2
38400,96,-176.0,2
38800,97,-200.0,2
39200,98,-123.0,2
39600,99,-128.0,2
40000,100,-219.0,2
