Epoch time step,Epoch number,Episode reward,N steps
400,1,-1000.0,2
800,2,-1000.0,2
1200,3,-565.0,2
1600,4,-1000.0,2
2000,5,-1000.0,2
2400,6,-1000.0,2
2800,7,-1000.0,2
3200,8,-1000.0,2
3600,9,-1000.0,2
4000,10,-1000.0,2
4400,11,-1000.0,2
4800,12,-1000.0,2
5200,13,-1000.0,2
5600,14,-1000.0,2
6000,15,-788.0,2
6400,16,-1000.0,2
6800,17,-422.0,2
7200,18,-350.0,2
7600,19,-250.0,2
8000,20,-223.0,2
8400,21,-195.0,2
8800,22,-292.0,2
9200,23,-377.0,2
9600,24,-293.0,2
10000,25,-219.0,2
10400,26,-209.0,2
10800,27,-206.0,2
11200,28,-282.0,2
11600,29,-252.0,2
12000,30,-315.0,2
12400,31,-498.0,2
12800,32,-258.0,2
13200,33,-261.0,2
13600,34,-310.0,2
14000,35,-420.0,2
14400,36,-1000.0,2
14800,37,-381.0,2
15200,38,-841.0,2
15600,39,-239.0,2
16000,40,-304.0,2
16400,41,-664.0,2
16800,42,-1000.0,2
17200,43,-1000.0,2
17600,44,-187.0,2
18000,45,-194.0,2
18400,46,-220.0,2
18800,47,-519.0,2
19200,48,-947.0,2
19600,49,-1000.0,2
20000,50,-119.0,2
20400,51,-250.0,2
20800,52,-981.0,2
21200,53,-974.0,2
21600,54,-482.0,2
22000,55,-1000.0,2
22400,56,-327.0,2
22800,57,-197.0,2
23200,58,-201.0,2
23600,59,-256.0,2
24000,60,-193.0,2
24400,61,-148.0,2
24800,62,-158.0,2
25200,63,-138.0,2
25600,64,-193.0,2
26000,65,-141.0,2
26400,66,-223.0,3
26800,67,-152.0,3
27200,68,-166.0,3
27600,69,-144.0,3
28000,70,-233.0,3
28400,71,-141.0,3
28800,72,-127.0,3
29200,73,-186.0,3
29600,74,-181.0,3
30000,75,-121.0,3
30400,76,-204.0,3
30800,77,-148.0,3
31200,78,-235.0,3
31600,79,-290.0,3
32000,80,-136.0,4
32400,81,-163.0,4
32800,82,-218.0,4
33200,83,-144.0,4
33600,84,-146.0,4
34000,85,-196.0,4
34400,86,-206.0,4
34800,87,-162.0,4
35200,88,-209.0,4
35600,89,-150.0,4
36000,90,-171.0,4
36400,91,-273.0,4
36800,92,-243.0,4
37200,93,-196.0,4
37600,94,-164.0,4
38000,95,-166.0,4
38400,96,-265.0,4
38800,97,-502.0,4
39200,98,-511.0,4
39600,99,-313.0,4
40000,100,-212.0,4
