Epoch time step,Epoch number,Episode reward,N steps
3000,1,-1000.0,2
6000,2,-1000.0,2
9000,3,-1000.0,2
12000,4,-1000.0,2
15000,5,-1000.0,2
18000,6,-1000.0,2
21000,7,-1000.0,2
24000,8,-1000.0,2
27000,9,-1000.0,2
30000,10,-1000.0,2
33000,11,-1000.0,2
36000,12,-1000.0,2
39000,13,-1000.0,2
42000,14,-1000.0,2
45000,15,-1000.0,2
48000,16,-1000.0,2
51000,17,-1000.0,2
54000,18,-1000.0,2
57000,19,-1000.0,2
60000,20,-1000.0,2
63000,21,-1000.0,2
66000,22,-1000.0,2
69000,23,-1000.0,2
72000,24,-1000.0,2
75000,25,-1000.0,2
78000,26,-1000.0,2
81000,27,-1000.0,2
84000,28,-1000.0,2
87000,29,-1000.0,2
90000,30,-1000.0,2
93000,31,-215.0,2
96000,32,-1000.0,2
99000,33,-1000.0,2
102000,34,-226.0,2
105000,35,-1000.0,2
108000,36,-1000.0,2
111000,37,-563.0,2
114000,38,-556.0,2
117000,39,-1000.0,2
120000,40,-1000.0,2
123000,41,-466.0,2
126000,42,-310.0,2
129000,43,-471.0,2
132000,44,-1000.0,2
135000,45,-1000.0,2
138000,46,-414.0,2
141000,47,-220.0,2
144000,48,-252.0,2
147000,49,-241.0,1
150000,50,-225.0,1
153000,51,-671.0,1
156000,52,-1000.0,1
159000,53,-166.0,1
162000,54,-167.0,1
165000,55,-148.0,1
168000,56,-221.0,1
171000,57,-219.0,1
174000,58,-125.0,1
177000,59,-229.0,1
180000,60,-373.0,1
183000,61,-136.0,1
186000,62,-121.0,1
189000,63,-1000.0,1
192000,64,-1000.0,1
195000,65,-132.0,1
198000,66,-131.0,1
201000,67,-128.0,1
204000,68,-133.0,1
207000,69,-278.0,1
210000,70,-119.0,1
213000,71,-120.0,1
216000,72,-150.0,1
219000,73,-120.0,1
222000,74,-116.0,1
225000,75,-144.0,1
228000,76,-127.0,1
231000,77,-150.0,1
234000,78,-275.0,1
237000,79,-147.0,1
240000,80,-120.0,1
243000,81,-123.0,1
246000,82,-135.0,1
249000,83,-148.0,1
252000,84,-188.0,1
255000,85,-116.0,1
258000,86,-124.0,1
261000,87,-143.0,1
264000,88,-119.0,1
267000,89,-120.0,1
270000,90,-146.0,1
273000,91,-142.0,2
276000,92,-1000.0,2
279000,93,-126.0,3
282000,94,-126.0,3
285000,95,-138.0,2
288000,96,-142.0,1
291000,97,-132.0,2
294000,98,-142.0,3
297000,99,-1000.0,3
300000,100,-122.0,2
