Episode time step,Cv Q value seed_0,Cv Q value seed_10,Cv Q value seed_20,Cv Q value seed_40,Cv Q value seed_60,Cv Q value seed_80,Cv Q value seed_100,Cv Q value
431,,-2.2607182544949445,,,,,,-2.2607182544949445
458,,,,,,,-2.14796964166611,-2.14796964166611
1000,-1.1382240733253906,,-0.8493128409034559,-1.1330189818543774,-0.9531794536947592,-0.8431620066121024,,-0.9833794712780172
1431,,-0.8527765678889156,,,,,,-0.8527765678889156
1458,,,,,,,-0.7717359467719495,-0.7717359467719495
2000,-0.5713549586771499,,-0.4074075164544007,-0.512096209137005,-0.3984470682463452,-0.530895173360422,,-0.4840401851750646
2245,,,,,,,-0.4593498840031686,-0.4593498840031686
2431,,-0.5181146352163416,,,,,,-0.5181146352163416
3000,-0.3364305017355324,,-0.1943885735663821,-0.2995537284250849,-0.2270315010977227,-0.2782035252148132,,-0.26712156600790704
3245,,,,,,,-0.2766336599174358,-0.2766336599174358
3431,,-0.2676774868071593,,,,,,-0.2676774868071593
3596,,,,,,-0.2062056107495632,,-0.2062056107495632
4000,-0.2141675540029404,,-0.1519966791841657,-0.1688458756723037,-0.1708055713110724,,,-0.17645392004262056
4245,,,,,,,-0.1861797148955599,-0.1861797148955599
4258,,,,,,-0.1333742714761068,,-0.1333742714761068
4431,,-0.1859136141145812,,,,,,-0.1859136141145812
4832,,,-0.1300197593670284,,,,,-0.1300197593670284
4863,,,,,,,-0.1067723394157918,-0.1067723394157918
4978,,,,,,-0.207324348726106,,-0.207324348726106
5000,-0.1357871366591269,,,-0.1300019389480596,-0.1440872115712505,,,-0.13662542905947897
5431,,-0.112598363599374,,,,,,-0.112598363599374
5432,,,,,,,-0.1024148092990242,-0.1024148092990242
5563,,,,,,-0.1525659870453766,,-0.1525659870453766
5832,,,-0.0762690726187268,,,,,-0.0762690726187268
6000,-0.0980944392595153,,,-0.0684900830704855,-0.0652568920630105,,,-0.0772804714643371
6198,,,-0.0693921663643399,,,,,-0.0693921663643399
6397,,,,,,-0.1067466621693191,,-0.1067466621693191
6412,,-0.0999669287951821,,,,,,-0.0999669287951821
6432,,,,,,,-0.0777868811915752,-0.0777868811915752
6734,,,-0.091800856870703,,,,,-0.091800856870703
6837,,,,,,-0.124817134601785,,-0.124817134601785
7000,-0.0908341393852264,,,-0.0518797954887326,-0.0514401986768703,,,-0.0647180445169431
7412,,-0.0486936816942668,,,,,,-0.0486936816942668
7432,,,,,,,-0.058598982276281,-0.058598982276281
7511,,,-0.1206072248775174,,,,,-0.1206072248775174
7579,,,,-0.0454527733963924,,,,-0.0454527733963924
7659,,,,,,-0.1190134019311485,,-0.1190134019311485
7969,,,-0.2114709119232075,,,,,-0.2114709119232075
8000,-0.0840608004594449,,,,-0.0437573147233736,,,-0.06390905759140925
8056,,-0.0730223693834136,,,,,,-0.0730223693834136
8069,,,,,,-0.0589835475076068,,-0.0589835475076068
8347,,,-0.0838175258996073,,,,,-0.0838175258996073
8432,,,,,,,-0.0345237004432226,-0.0345237004432226
8579,,,,-0.0578602335184002,,,,-0.0578602335184002
8615,-0.0827677319447308,,,,,,,-0.0827677319447308
8661,,-0.0427316707840237,,,,,,-0.0427316707840237
8684,,,-0.0941106659182662,,,,,-0.0941106659182662
8718,,,,,,-0.0909878864447145,,-0.0909878864447145
8818,,,,,,,-0.0475753097964142,-0.0475753097964142
9000,,,,,-0.0313850143961583,,,-0.0313850143961583
9066,,-0.0411729140965831,,,,,,-0.0411729140965831
9149,,,-0.0590053991970101,,,,,-0.0590053991970101
9254,-0.0799556182004586,,,,,,,-0.0799556182004586
9264,,,,,,-0.0904710281132963,,-0.0904710281132963
9579,,,,-0.0425644521299263,,,,-0.0425644521299263
9591,,,,,,,-0.0729910429945709,-0.0729910429945709
9594,,,-0.0702638185066136,,,,,-0.0702638185066136
9709,,-0.0675965153071285,,,,,,-0.0675965153071285
9710,-0.1019523802499415,,,,,,,-0.1019523802499415
9879,,,,,-0.059983838977086,,,-0.059983838977086
9954,,,-0.1096235476205624,,,,,-0.1096235476205624
10085,-0.0765091300079151,,,,,,,-0.0765091300079151
10174,,,,-0.0243276761871619,,,,-0.0243276761871619
10264,,,,,,-0.0869771348737035,,-0.0869771348737035
10281,,,,,,,-0.0456320190964069,-0.0456320190964069
10356,,,-0.1079203420609907,,,,,-0.1079203420609907
10405,-0.0978234521914091,,,,,,,-0.0978234521914091
10440,,-0.0343585575572936,,,,,,-0.0343585575572936
10687,,,,,,,-0.041310888105525,-0.041310888105525
10726,,,,,,-0.0670262399102955,,-0.0670262399102955
10741,,,,,-0.0628630204036444,,,-0.0628630204036444
10796,,,-0.0960779615250312,,,,,-0.0960779615250312
10799,-0.0844607723574953,,,,,,,-0.0844607723574953
10972,,,,,,,-0.0668193464113781,-0.0668193464113781
11029,,,,,,-0.061262532353745,,-0.061262532353745
11149,-0.0702132859096912,,,,,,,-0.0702132859096912
11158,,,-0.0741917794572251,,,,,-0.0741917794572251
11174,,,,-0.0232470972027049,,,,-0.0232470972027049
11371,,,,,,-0.0878544098720564,,-0.0878544098720564
11415,,,,,,,-0.1074573239329612,-0.1074573239329612
11440,,-0.0384095292990605,,,,,,-0.0384095292990605
11461,,,-0.0977624139411132,,,,,-0.0977624139411132
11559,-0.0641992387731127,,,,,,,-0.0641992387731127
11640,,,,-0.0388758241118874,,,,-0.0388758241118874
11732,,-0.0376597633978668,,,,,,-0.0376597633978668
11741,,,,,-0.0211477260018527,,,-0.0211477260018527
11802,,,-0.0734630361475159,,,,,-0.0734630361475159
11878,-0.108723809689598,,,,,,,-0.108723809689598
12100,,,,,,,-0.1157669257844539,-0.1157669257844539
12114,,,,,,-0.0967563446650679,,-0.0967563446650679
12227,,,-0.054448984509537,,,,,-0.054448984509537
12230,-0.1164175291708978,,,,,,,-0.1164175291708978
12520,,,,,,,-0.0850051711985951,-0.0850051711985951
12545,,,,,,-0.0997258826918523,,-0.0997258826918523
12567,,-0.0285469954492586,,,,,,-0.0285469954492586
12575,-0.090724953930876,,,,,,,-0.090724953930876
12600,,,-0.0493561440688721,,,,,-0.0493561440688721
12640,,,,-0.0302801568954101,,,,-0.0302801568954101
12682,,,,,-0.0390247557345283,,,-0.0390247557345283
12905,,,-0.0998285380796319,,,,,-0.0998285380796319
12946,,,,,,,-0.0749426896592233,-0.0749426896592233
12954,-0.0819831149673397,,,,,,,-0.0819831149673397
13268,,,,,,,-0.090883167997283,-0.090883167997283
13286,-0.0548499728367413,,,,,,,-0.0548499728367413
13365,,,-0.111578090685513,,,,,-0.111578090685513
13376,,,,,,-0.0535487138133823,,-0.0535487138133823
13428,-0.0561486898383482,,,,,,,-0.0561486898383482
13453,,-0.0380015187876537,,,,,,-0.0380015187876537
13506,,,,,-0.0314582213494899,,,-0.0314582213494899
13626,,,,,,,-0.0436953146464491,-0.0436953146464491
13640,,,,-0.0179446329957717,,,,-0.0179446329957717
13719,-0.075956398928513,,,,,,,-0.075956398928513
13772,,,-0.0666172506345816,,,,,-0.0666172506345816
13835,,-0.030660841463437,,,,,,-0.030660841463437
13978,,,,,,,-0.1060975234744662,-0.1060975234744662
14093,,,-0.0650516830987149,,,,,-0.0650516830987149
14109,-0.0753161939540911,,,,,,,-0.0753161939540911
14274,,,,,,,-0.0407160703939983,-0.0407160703939983
14320,,,,,-0.0231287591591301,,,-0.0231287591591301
14353,,,-0.0763284013996061,,,,,-0.0763284013996061
14376,,,,,,-0.089957966649381,,-0.089957966649381
14382,-0.0726209404584026,,,,,,,-0.0726209404584026
14432,,-0.0392977176841405,,,,,,-0.0392977176841405
14573,,,-0.0908029956888722,,,,,-0.0908029956888722
14628,-0.0537788391143004,,,,,,,-0.0537788391143004
14640,,,,-0.0074033616666606,,,,-0.0074033616666606
