Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,-1000.0,-1000.0,-1000.0,-945.0,-950.0,-1000.0,-247.0,-877.4285714285714
2,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-157.0,-879.5714285714286
3,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-312.0,-901.7142857142857
4,-1000.0,-1000.0,-1000.0,-738.0,-1000.0,-1000.0,-167.0,-843.5714285714286
5,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
6,-1000.0,-1000.0,-1000.0,-559.0,-1000.0,-364.0,-403.0,-760.8571428571429
7,-1000.0,-1000.0,-1000.0,-248.0,-1000.0,-1000.0,-202.0,-778.5714285714286
8,-1000.0,-1000.0,-1000.0,-191.0,-1000.0,-1000.0,-299.0,-784.2857142857143
9,-1000.0,-1000.0,-1000.0,-349.0,-1000.0,-1000.0,-590.0,-848.4285714285714
10,-1000.0,-1000.0,-1000.0,-275.0,-1000.0,-1000.0,-428.0,-814.7142857142857
11,-1000.0,-1000.0,-1000.0,-145.0,-1000.0,-1000.0,-679.0,-832.0
12,-1000.0,-1000.0,-1000.0,-185.0,-1000.0,-1000.0,-411.0,-799.4285714285714
13,-1000.0,-481.0,-1000.0,-173.0,-1000.0,-1000.0,-447.0,-728.7142857142857
14,-1000.0,-1000.0,-1000.0,-141.0,-1000.0,-1000.0,-1000.0,-877.2857142857143
15,-1000.0,-556.0,-1000.0,-229.0,-1000.0,-1000.0,-627.0,-773.1428571428571
16,-1000.0,-336.0,-1000.0,-195.0,-1000.0,-1000.0,-268.0,-685.5714285714286
17,-1000.0,-304.0,-1000.0,-248.0,-1000.0,-1000.0,-266.0,-688.2857142857143
18,-1000.0,-1000.0,-1000.0,-382.0,-1000.0,-1000.0,-1000.0,-911.7142857142857
19,-1000.0,-250.0,-1000.0,-276.0,-1000.0,-1000.0,-346.0,-696.0
20,-1000.0,-367.0,-1000.0,-435.0,-611.0,-1000.0,-201.0,-659.1428571428571
21,-1000.0,-354.0,-1000.0,-419.0,-349.0,-1000.0,-259.0,-625.8571428571429
22,-1000.0,-886.0,-1000.0,-1000.0,-319.0,-1000.0,-390.0,-799.2857142857143
23,-1000.0,-207.0,-603.0,-1000.0,-372.0,-1000.0,-255.0,-633.8571428571429
24,-1000.0,-329.0,-1000.0,-1000.0,-490.0,-1000.0,-1000.0,-831.2857142857143
25,-547.0,-840.0,-215.0,-1000.0,-269.0,-464.0,-837.0,-596.0
