Episode time step,Cv Q value seed_0,Cv Q value seed_10,Cv Q value seed_20,Cv Q value seed_40,Cv Q value seed_60,Cv Q value seed_80,Cv Q value seed_100,Cv Q value
517,-1.283892745269064,,,,,,,-1.283892745269064
798,,,,-1.3309261293874386,,,,-1.3309261293874386
1000,,-1.2302151287640066,-0.856562889416998,,-0.8816507361227353,-0.8729160620812971,-1.16895442512747,-1.0020598483025014
1418,,,,,,-0.3800903055450274,,-0.3800903055450274
1517,-0.5424435779035691,,,,,,,-0.5424435779035691
1798,,,,-0.5728515594404319,,,,-0.5728515594404319
2000,,-0.5520003989559614,-0.3365761440558893,,-0.3754959879632945,,-0.4550227639296805,-0.4297738237262064
2418,,,,,,-0.2516496805982314,,-0.2516496805982314
2517,-0.3600312326260728,,,,,,,-0.3600312326260728
2798,,,,-0.2434947770535186,,,,-0.2434947770535186
3000,,-0.2710011491467083,-0.1813734444215972,,-0.1851301141878681,,-0.2152089463879581,-0.21317841353603292
3418,,,,,,-0.1465929740320658,,-0.1465929740320658
3517,-0.179739949499121,,,,,,,-0.179739949499121
3798,,,,-0.1678704028575387,,,,-0.1678704028575387
4000,,-0.1368045788834201,-0.1233752381959373,,-0.1349264127520492,,-0.1449841224501203,-0.13502258807038173
4177,,,,,,-0.1485884796341912,,-0.1485884796341912
4517,-0.1728563018291265,,,,,,,-0.1728563018291265
4798,,,,-0.0903049175590807,,,,-0.0903049175590807
4830,,,-0.1418523682313771,,,,,-0.1418523682313771
5000,,-0.1087371458495342,,,-0.0867329625387638,,-0.1047387989594439,-0.10006963578258062
5048,,,,,,-0.1266818691347534,,-0.1266818691347534
5509,-0.1255105490172231,,,,,,,-0.1255105490172231
5614,,,-0.071015431414553,,,,,-0.071015431414553
5736,,,,,,,-0.1279166756733424,-0.1279166756733424
5798,,,,-0.0586801442109145,,,,-0.0586801442109145
5948,,,,,,-0.0992475365601565,,-0.0992475365601565
6000,,-0.0549074100053747,,,-0.0669124412574472,,,-0.060909925631410955
6057,,,-0.147809034918325,,,,,-0.147809034918325
6267,,,,,,,-0.1399199476758326,-0.1399199476758326
6351,,,,-0.0918302068300903,,,,-0.0918302068300903
6509,-0.1030191739292447,,,,,,,-0.1030191739292447
6755,,,,,,-0.1188802676739875,,-0.1188802676739875
6768,,,,,,,-0.132376188318408,-0.132376188318408
6900,,,,,-0.1003054411794745,,,-0.1003054411794745
7000,,-0.0425328984964172,,,,,,-0.0425328984964172
7017,-0.0997536445995969,,,,,,,-0.0997536445995969
7057,,,-0.0668818479728107,,,,,-0.0668818479728107
7230,,,,,,-0.1064005382943232,,-0.1064005382943232
7283,,,,,,,-0.1829884297467029,-0.1829884297467029
7351,,,,-0.0428007523463001,,,,-0.0428007523463001
7529,,-0.0998631338576408,,,,,,-0.0998631338576408
7580,,,,,,,-0.1650825519428911,-0.1650825519428911
7590,-0.1163645986982666,,,,,,,-0.1163645986982666
7755,,,,-0.0777256936444726,,,,-0.0777256936444726
7858,,,-0.1006711474040245,,,,,-0.1006711474040245
7900,,,,,-0.0464908492552812,,,-0.0464908492552812
7947,,,,,,,-0.2119564602308181,-0.2119564602308181
8056,-0.1612242249472139,,,,,,,-0.1612242249472139
8165,,-0.09735121466302,,,,,,-0.09735121466302
8194,,,,-0.0978729708358066,,,,-0.0978729708358066
8230,,,,,,-0.0814801258314713,,-0.0814801258314713
8341,,,-0.0649224449433497,,,,,-0.0649224449433497
8390,,,,,,,-0.1755342403508769,-0.1755342403508769
8528,,,,,-0.1323861683387422,,,-0.1323861683387422
8628,-0.0850155484754981,,,,,,,-0.0850155484754981
8659,,,,-0.0857193411965361,,,,-0.0857193411965361
8693,,-0.0883599178788451,,,,,,-0.0883599178788451
8730,,,,,,,-0.0979495238564872,-0.0979495238564872
8733,,,,,,-0.0908162290981808,,-0.0908162290981808
8903,-0.1348850265292533,,,,,,,-0.1348850265292533
9038,,,,,-0.0976005900319638,,,-0.0976005900319638
9069,,-0.0489481077683205,,,,,,-0.0489481077683205
9098,,,,-0.1158314973554727,,,,-0.1158314973554727
9235,,,-0.0899586081000426,,,,,-0.0899586081000426
9264,-0.2351563676587155,,,,,,,-0.2351563676587155
9397,,,,,,-0.1127259984688969,,-0.1127259984688969
9422,,-0.0927642912396488,,,,,,-0.0927642912396488
9453,,,,,,,-0.1596622449079192,-0.1596622449079192
9608,,,-0.1278848920111683,,,,,-0.1278848920111683
9639,,,,,,-0.1877107524211016,,-0.1877107524211016
9652,,,,-0.0959028858956788,,,,-0.0959028858956788
9757,,,,,-0.1654325170929612,,,-0.1654325170929612
9940,,,,,,,-0.1345231396037058,-0.1345231396037058
9955,-0.1254809288770858,,,,,,,-0.1254809288770858
9997,,-0.0907064864761614,,,,,,-0.0907064864761614
10049,,,,,,-0.0931707653073275,,-0.0931707653073275
10161,,,,,-0.1075345593851726,,,-0.1075345593851726
10200,,,,-0.0993057889538201,,,,-0.0993057889538201
10243,-0.2200683057204648,,,,,,,-0.2200683057204648
10266,,,,,,,-0.1457553450921492,-0.1457553450921492
10319,,,-0.1343901138053192,,,,,-0.1343901138053192
10419,,-0.0910312592240343,,,,,,-0.0910312592240343
10500,,,,,,,-0.1335798452506279,-0.1335798452506279
10551,,,,,,-0.0991975520987189,,-0.0991975520987189
10566,-0.2633251675760547,,,,,,,-0.2633251675760547
10587,,,,-0.0741262257570854,,,,-0.0741262257570854
10619,,,,,-0.134934596609919,,,-0.134934596609919
10626,,,-0.0950388613128015,,,,,-0.0950388613128015
10720,,-0.0632760252100437,,,,,,-0.0632760252100437
10739,,,,,,,-0.1837245256299129,-0.1837245256299129
10889,-0.2464237819773186,,,,,,,-0.2464237819773186
10928,,,-0.0868966365582512,,,,,-0.0868966365582512
10948,,,,,-0.0968623941084818,,,-0.0968623941084818
11018,,,,,,-0.1214334392495021,,-0.1214334392495021
11026,,,,,,,-0.1310778772607962,-0.1310778772607962
11030,,,,-0.096499320363536,,,,-0.096499320363536
11142,,-0.1264626517235036,,,,,,-0.1264626517235036
11201,,,,,,,-0.1643790429974686,-0.1643790429974686
11212,-0.159667342833367,,,,,,,-0.159667342833367
11331,,,,,-0.1030785808140772,,,-0.1030785808140772
11366,,,,-0.0954791661299912,,,,-0.0954791661299912
11440,,-0.079325827144868,,,,,,-0.079325827144868
11490,-0.1925074708685119,,,,,,,-0.1925074708685119
11529,,,,,,,-0.1460805060925726,-0.1460805060925726
11602,,,,,,-0.0853350846694579,,-0.0853350846694579
11701,,,,-0.1049988462360096,,,,-0.1049988462360096
11719,,,-0.064286456464185,,,,,-0.064286456464185
11725,,,,,,,-0.1391969624481606,-0.1391969624481606
11770,,-0.1010220425311677,,,,,,-0.1010220425311677
11779,-0.1549906327601753,,,,,,,-0.1549906327601753
11805,,,,,-0.1536279399764218,,,-0.1536279399764218
11932,,,,,,,-0.1570245765652744,-0.1570245765652744
12021,,,,-0.0716541554129844,,,,-0.0716541554129844
12059,-0.1997099029476713,,,,,,,-0.1997099029476713
12160,,,,,-0.0896726510406573,,,-0.0896726510406573
12216,,,,,,,-0.1767442574026377,-0.1767442574026377
12285,,,,,,-0.1016528324451889,,-0.1016528324451889
12325,,,,-0.0910973240066382,,,,-0.0910973240066382
12328,,-0.0995537405738739,,,,,,-0.0995537405738739
12400,,,,,,,-0.1068101142416736,-0.1068101142416736
12405,-0.1133153253094784,,,,,,,-0.1133153253094784
12579,,,,,,-0.0854825678221763,,-0.0854825678221763
12600,,,,,,,-0.1602168235251378,-0.1602168235251378
12644,,,,-0.0807562619975083,,,,-0.0807562619975083
12706,,,,,-0.1116579706681995,,,-0.1116579706681995
12719,,,-0.0259088538228557,,,,,-0.0259088538228557
12767,-0.2045386618025209,,,,,,,-0.2045386618025209
12849,,,,,,,-0.1227858194094769,-0.1227858194094769
12910,,,,-0.0701947892313237,,,,-0.0701947892313237
13008,-0.1038701941048035,,,,,,,-0.1038701941048035
13040,,-0.1086565698741829,,,,,,-0.1086565698741829
13053,,,,,,,-0.1540150141695724,-0.1540150141695724
13191,-0.1737392849586451,,,,,,,-0.1737392849586451
13256,,,,,,,-0.1584421993854138,-0.1584421993854138
13258,,,,,-0.0936227996496192,,,-0.0936227996496192
13279,,,,-0.0990173344400989,,,,-0.0990173344400989
13325,,-0.0673504745806772,,,,,,-0.0673504745806772
13485,,,,,,,-0.1351946500332355,-0.1351946500332355
13513,-0.1247945983212191,,,,,,,-0.1247945983212191
13579,,,,,,-0.0559135117944998,,-0.0559135117944998
13610,,,,-0.0881943784555487,,,,-0.0881943784555487
13719,,,-0.0239504587982569,,,,,-0.0239504587982569
13721,,,,,-0.097507993169129,,,-0.097507993169129
13805,,,,,,,-0.117202511874838,-0.117202511874838
13839,-0.1872828790212979,,,,,,,-0.1872828790212979
13914,,,,-0.0968420097743056,,,,-0.0968420097743056
13942,,-0.0531942016399725,,,,,,-0.0531942016399725
13999,,,,,,,-0.0936158839014971,-0.0936158839014971
14001,,,,,-0.1032575246986108,,,-0.1032575246986108
14165,-0.2107852230486756,,,,,,,-0.2107852230486756
14272,,,,,,,-0.1647420820442619,-0.1647420820442619
14282,,,,,-0.1011318488130211,,,-0.1011318488130211
14287,,,,-0.0798793505283188,,,,-0.0798793505283188
14411,,,-0.0751834618718076,,,,,-0.0751834618718076
14438,-0.1306658937009844,,,,,,,-0.1306658937009844
14510,,,,-0.0652513948809526,,,,-0.0652513948809526
14543,,-0.0500321113573213,,,,,,-0.0500321113573213
14550,,,,,-0.0936749001826641,,,-0.0936749001826641
14579,,,,,,-0.0595186511324371,,-0.0595186511324371
14737,,,-0.0425214779782052,,,,,-0.0425214779782052
14798,,,,-0.0658504595288272,,,,-0.0658504595288272
14808,,,,,,,-0.1046631912540535,-0.1046631912540535
14830,-0.1405463295066333,,,,,,,-0.1405463295066333
14902,,,,,-0.0915182085610305,,,-0.0915182085610305
15002,,,,-0.0633639174708232,,,,-0.0633639174708232
15086,,-0.0444436126256321,,,,,,-0.0444436126256321
15132,,,,,,,-0.0754525419151263,-0.0754525419151263
15161,-0.1422594180890179,,,,,,,-0.1422594180890179
15164,,,,,,-0.0369281065208555,,-0.0369281065208555
15198,,,,-0.0539535316794927,,,,-0.0539535316794927
15335,,,,,,-0.0192527759295728,,-0.0192527759295728
15337,-0.1292795132487332,,,,,,,-0.1292795132487332
15371,,,,,-0.0844360390670985,,,-0.0844360390670985
15415,,,,,,,-0.0980357792678894,-0.0980357792678894
15460,,,,-0.0605719311462257,,,,-0.0605719311462257
15581,-0.1241665335075406,,,,,,,-0.1241665335075406
15658,,-0.0503668597109125,,,,,,-0.0503668597109125
15670,,,,-0.0659326895725665,,,,-0.0659326895725665
15677,,,,,,-0.0402004880463119,,-0.0402004880463119
15737,,,-0.0450934840180593,,,,,-0.0450934840180593
15813,-0.1130156214827938,,,,,,,-0.1130156214827938
15846,,,,,,,-0.1034111679473347,-0.1034111679473347
15933,,,,,-0.0897881328413549,-0.0404537913992403,,-0.0651209621202976
16059,,,,-0.0848442127894103,,,,-0.0848442127894103
16266,,,,,,,-0.0853001989606276,-0.0853001989606276
16282,,-0.0815511689563027,,,,,,-0.0815511689563027
16303,,,,,-0.0916040998335802,,,-0.0916040998335802
16324,,,,-0.0484760653510948,,,,-0.0484760653510948
16355,-0.1212155711483476,,,,,,,-0.1212155711483476
16408,,,,,,,-0.0568355675244366,-0.0568355675244366
16474,,,,,,-0.0246048661466466,,-0.0246048661466466
16633,-0.0774209950564691,,,,,,,-0.0774209950564691
